datatime,maxvoltagebatterysubseq,maxvoltagebatterysingleseq,maxbatterysinglevoltageval,minvoltagebatterysubseq,minvoltagebatterysingleseq,minbatterysinglevoltageval,maxtmpsubseq,maxtmptrobesingleseq,maxtmpval,mintmpsubseq,mintmpprobesingleseq,mintmpval
2018-01-06 09:15:23,1,32,3.332,1,175,3.322,1,,13,1,1,13
2018-01-06 09:15:53,1,20,3.3139999999999996,1,183,3.265,1,,13,1,1,13
2018-01-06 09:16:23,1,51,3.2710000000000004,1,48,3.2439999999999998,1,,13,1,1,13
2018-01-06 09:16:52,1,44,3.2939999999999996,1,121,3.267,1,,13,1,1,13
2018-01-06 09:17:21,1,52,3.2969999999999997,1,175,3.266,1,,14,1,1,13
2018-01-06 09:18:48,1,172,3.2969999999999997,1,21,3.2910000000000004,1,,14,1,1,13
2018-01-06 09:19:19,1,47,3.303,1,175,3.298,1,,14,1,1,13
2018-01-06 09:19:49,1,121,3.3,1,73,3.261,1,,14,1,1,13
2018-01-06 09:20:18,1,169,3.292,1,74,3.2310000000000003,1,,14,1,1,13
2018-01-06 09:20:48,1,155,3.2910000000000004,1,185,3.208,1,,14,1,1,13
2018-01-06 09:21:48,1,165,3.286,1,205,3.215,1,,14,1,1,13
2018-01-06 09:22:18,1,47,3.295,1,27,3.2880000000000003,1,,14,1,1,13
2018-01-06 09:22:48,1,43,3.2969999999999997,1,68,3.27,1,,14,1,1,13
2018-01-06 09:23:18,1,80,3.305,1,180,3.298,1,,14,1,1,13
2018-01-06 09:23:47,1,18,3.306,1,1,3.302,1,,14,1,1,13
2018-01-06 09:24:17,1,59,3.3089999999999997,1,1,3.304,1,,14,1,1,13
2018-01-06 09:24:47,1,18,3.3089999999999997,1,6,3.304,1,,14,1,1,13
2018-01-06 09:25:17,1,47,3.31,1,201,3.3,1,,14,1,1,13
2018-01-06 09:25:48,1,143,3.295,1,18,3.2119999999999997,1,,14,1,1,13
2018-01-06 09:26:18,1,160,3.3080000000000003,1,190,3.175,1,,14,1,1,13
2018-01-06 09:26:48,1,97,3.2969999999999997,1,183,3.181,1,,14,1,1,13
2018-01-06 09:27:46,1,146,3.339,1,108,3.2939999999999996,1,,14,1,3,13
2018-01-06 09:28:16,1,208,3.27,1,166,3.096,1,,14,1,3,13
2018-01-06 09:29:16,1,82,3.3560000000000003,1,1,3.2889999999999997,1,,14,1,1,14
2018-01-06 09:29:46,1,52,3.299,1,99,3.293,1,,15,1,1,14
2018-01-06 09:30:45,1,60,3.3,1,168,3.07,1,,15,1,1,14
2018-01-06 09:31:16,1,158,3.298,1,207,3.19,1,,15,1,1,14
2018-01-06 09:31:46,1,202,3.299,1,6,3.2889999999999997,1,,15,1,1,14
2018-01-06 09:32:15,1,47,3.303,1,6,3.298,1,,15,1,1,14
2018-01-06 09:32:45,1,47,3.303,1,65,3.218,1,,15,1,1,14
2018-01-06 09:33:15,1,66,3.359,1,79,3.1439999999999997,1,,15,1,1,14
2018-01-06 09:34:16,1,47,3.299,1,175,3.292,1,,15,1,3,14
2018-01-06 09:34:45,1,80,3.304,1,1,3.299,1,,15,1,3,14
2018-01-06 09:35:15,1,80,3.306,1,6,3.3,1,,15,1,3,14
2018-01-06 09:35:45,1,47,3.3080000000000003,1,95,3.303,1,,15,1,3,14
2018-01-06 09:36:45,1,166,3.3169999999999997,1,147,3.167,1,,15,1,3,14
